sample_id,session_id,speaker_id,audio_path,transcript_path,label,scenario,fraud_type,language,transaction_amount,transaction_currency,transaction_type,recipient_new,prior_transactions,time_since_last_transaction,speaker_baseline_available,source,source_dataset,consent_status
teleantifraud_binary_train_0b8149d982ac635f,teleantifraud_binary_train_0b8149d982ac635f,,data/raw/audio/teleantifraud/audio/POS-imitate-4/tts_test1139/tts_test1139.mp3,,0,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_f4672051eed788da,teleantifraud_binary_train_f4672051eed788da,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test3037/tts_test3037.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_766579756f4f2faa,teleantifraud_binary_train_766579756f4f2faa,,data/raw/audio/teleantifraud/audio/POS-imitate-5/tts_test1726/tts_test1726.mp3,,0,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_18660616016d3baf,teleantifraud_binary_train_18660616016d3baf,,data/raw/audio/teleantifraud/audio/POS-imitate-4/tts_test185/tts_test185.mp3,,0,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_707985a14ff6d150,teleantifraud_binary_train_707985a14ff6d150,,data/raw/audio/teleantifraud/audio/NEG-imitate-11/tts_test2186/tts_test2186.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_8fe6560beb68e13a,teleantifraud_binary_train_8fe6560beb68e13a,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test3424/tts_test3424.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_23bfd06fccd55336,teleantifraud_binary_train_23bfd06fccd55336,,data/raw/audio/teleantifraud/audio/POS-imitate-5/tts_test1957/tts_test1957.mp3,,0,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_2ed2b99966098533,teleantifraud_binary_train_2ed2b99966098533,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test2816/tts_test2816.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_54196e538757db93,teleantifraud_binary_train_54196e538757db93,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test3127/tts_test3127.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_d7a32b78b9e4b0f2,teleantifraud_binary_train_d7a32b78b9e4b0f2,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test2857/tts_test2857.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_95dafa8250e855bb,teleantifraud_binary_train_95dafa8250e855bb,,data/raw/audio/teleantifraud/audio/NEG-imitate-11/tts_test2112/tts_test2112.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
teleantifraud_binary_train_8db67bc3c783de27,teleantifraud_binary_train_8db67bc3c783de27,,data/raw/audio/teleantifraud/audio/NEG-imitate-12/tts_test2689/tts_test2689.mp3,,1,,,zh,,,,,,,false,public_dataset,TeleAntiFraud,dataset_license
